null_identity_mean	obs_identity
0.2687535626200641	0.6914987481654167
0.087761067227898	0.1091239855097686
0.0730037937471274	0.0943397516384747
0.6137329543044899	0.9463440860215162
0.1310812153994102	0.1426841893906219
0.1223433838217297	0.2009197798360512
0.0963029871781939	0.1353153257150811
0.1826468220835294	0.288640683334872
0.0956932249232557	0.1537980418112458
0.1151695108617093	0.1810191559540091
0.3255602926074575	0.424115745806928
0.0804106264625566	0.0833521176818875
0.4583382948264465	0.5621334640202641
0.5479322302612695	0.8000073712287261
0.0947629934576742	0.1508610534543402
0.0873461513150026	0.1057225613059504
0.4384135032520803	0.5460165755598406
0.4631769903607411	0.7213098039215681
0.1063555269052409	0.1307189737640209
0.0791227254041337	0.0869804435074482
0.0814563816015761	0.0872012116151169
0.4888801719783649	0.9260326044757722
0.0806264180637962	0.0823554873997634
0.1022637894653571	0.1095794747787332
0.1077898161733249	0.1170001329851475
0.0891276901837416	0.1003633649511876
0.0837181052775146	0.0898984726191771
0.0931435540075482	0.0968273512108838
0.2083121454979203	0.3210014459435924
0.0919589489429741	0.1158496843523361
0.080617397842528	0.0841094165946866
0.0864481637088106	0.0894376476638972
0.088543466456411	0.0955970637286208
0.0989874513772406	0.114737248886835
0.0808155152772893	0.0838636618323657
0.0789646070844963	0.0816674375606165
0.2100258595193559	0.2116601092882868
0.1032474524040281	0.1071462410349216
0.0811833192056208	0.0834295536594584
0.13782752356795	0.1708902737033311
0.1156077766507206	0.1197552464019638
0.6113391791417228	0.8317860187553253
0.0834785479656209	0.0943770514162576
0.6175557980518667	0.8163682200413929
0.1409631266002205	0.1454598150431389
0.0913286280653715	0.0939714908100626
0.1156368343144647	0.1304803422512722
0.126770670059654	0.1304978315964729
0.6548509646055014	0.8156427036814332
0.1169847080333515	0.1191703679270889
0.0864456992934002	0.0919418275753713
0.7439616438021058	0.952020202020202
0.0791543340896029	0.0823365377643332
0.119174915554267	0.1254385189538161
0.1070042467349706	0.1123332493215941
0.1485595233959678	0.1504377202659101
0.1311451440674441	0.1378042745487735
0.128291672719421	0.1313625505934887
0.1253571257089172	0.126681748628531
0.1215045155053717	0.1258878976509005
0.2340985443016915	0.2417203352050091
0.1265402517974693	0.1275883245183544
0.2394597827789985	0.2397669489525826
0.0971330035335184	0.0984276198950346
0.153770063493046	0.1570190694139097
0.0854075139740372	0.0861044493125082
0.0898041603071503	0.0908696617667257
0.4672212926005401	0.4703869686012555
0.1004828178406975	0.1005617517721123
0.0966160230283886	0.0966706122535299
0.1255889048999131	0.125551770674022
0.128732649647848	0.1285763819230102
0.1650831891520879	0.1644020402235461
0.6280913230125971	0.6136363636363636
0.3676247309884313	0.3444444444444444
0.0909089097234479	0.0894056848838237
0.0960181967670084	0.0951887742151015
0.1380890594277958	0.1370855000606016
0.6473341708746032	0.5374149659863946
0.1267132580386259	0.1201616536884071
0.1385461954491484	0.1275658507985848
0.5984563807619623	0.4765562965563131
